name,url,group_buff,self_buff,vc_level,hp,attack,magic
"Great Detective Little Leela",https://warofthevisions.gamepedia.com/Great_Detective_Little_Leela,"DEF + 15","MAG(%) + -5",60,223,48,109
"Beguiling Witch",https://warofthevisions.gamepedia.com/Beguiling_Witch,"Reaper Killer + -30","Casting Time Reduced + 25",60,184,80,98
"Fun Time",https://warofthevisions.gamepedia.com/Fun_Time,"Critical Hit Rate + 15","ATK(%) + 20",60,207,88,80
"Flag of Leonis",https://warofthevisions.gamepedia.com/Flag_of_Leonis,"Stop + 10","ATK(%) + 25",40,173,80,43
"Flag of Hourne",https://warofthevisions.gamepedia.com/Flag_of_Hourne,"Berserk + 7","DEX(%) + 25",40,296,32,29
"Flag of Fennes",https://warofthevisions.gamepedia.com/Flag_of_Fennes,"ATK Debuff Res + 8","Max HP(%) + 50",40,257,52,29
"Flag of Wezette",https://warofthevisions.gamepedia.com/Flag_of_Wezette,"Toad + 30","Evocation Gauge Boost + 25",40,234,48,43
"Flag of the Crystal Sanctum",https://warofthevisions.gamepedia.com/Flag_of_the_Crystal_Sanctum,"Accuracy + 6","Accuracy + 25",40,196,20,87
"Leonis Castle",https://warofthevisions.gamepedia.com/Leonis_Castle,"DEF + 6","Critical Hit Rate + 15",40,280,48,21
"Hourne Castle",https://warofthevisions.gamepedia.com/Hourne_Castle,"ATK(%) + 4","Slash Attack + 30",40,134,92,51
"Fennes Castle",https://warofthevisions.gamepedia.com/Fennes_Castle,"DEX + 4","Strike Attack + 18",40,234,48,43
"Wezette Castle",https://warofthevisions.gamepedia.com/Wezette_Castle,"DEF + 4","Pierce Attack + 10",40,326,24,21
"Dynverk Cathedral",https://warofthevisions.gamepedia.com/Dynverk_Cathedral,"Blind + 4","Missile Attack + 25",40,142,64,73
"Long-Distance Communication Device «Heaven»",https://warofthevisions.gamepedia.com/Long-Distance_Communication_Device_%C2%ABHeaven%C2%BB,"ATK + 8","Max HP(%) + 30",30,100,56,29
"Long-Distance Communication Device «Earth»",https://warofthevisions.gamepedia.com/Long-Distance_Communication_Device_%C2%ABEarth%C2%BB,"Luck + 10","ATK(%) + 30",30,100,32,51
"Far-Reaching Mirror",https://warofthevisions.gamepedia.com/Far-Reaching_Mirror,"DEX + 10","MAG(%) + 30",30,192,20,18
